Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,131904,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,131904,,,0
H4,2013,2013,2013,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,876252,,,0
H4,2013,2013,2013,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,876252,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5465519,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,50,Bangladesh,BGD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,149780,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,100,Bulgaria,BGR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1986,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4749928,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,41160,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,414,Kuwait,KWT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,82871,,,0
H4,2012,2012,2012,2,0,2,Export,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,21413,,,0
