Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,119,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,1536,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,40,Rubber and articles thereof,1,No Quantity,,,0,,0,,461,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",1,No Quantity,,,0,,0,,1229,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,1,No Quantity,,,0,,0,,17773,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,1,No Quantity,,,0,,0,,148632,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,No Quantity,,,0,,0,,41,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,1,No Quantity,,,0,,0,,7992,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1,No Quantity,,,0,,0,,104,,,0
H5,2017,2017,2017,2,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1,No Quantity,,,0,,0,,2751,,,0
