,Hydropower Plant,Status,LAT N,LON E,State/Region,District,Township,Village,Basin,Sub-Basin (HP Chapter),Sub-Basin (GIS Maps),River/ Watershed,Developer,Country,Investment by,Installed Capacity (MW),Myanmar Selfuse (MW),Export (MW),Export to,Estimated No. Construction Workers (planned projects),Year_Simplified
49,Nam Paw,Covenant,23.9443409997,97.9110009997,Shan,Muse,Muse,Selan,Ayeyarwady,Shweli,Shweli,Nam Paw Creek,Great Hor Kham,Myanmar,Local BOT,20.0,20.0,0.0,,100.0,2019.0
50,Nam Pawn (upper)  ,MOU,20.062121,97.437368,Shan,Hpi Hseng,,,Thanlwin,Nam Pawn,Nam Pawn,Nam Pawn,TEI/HCTC,SIN/MYA,Foreign JV/BOT,150.0,150.0,0.0,,600.0,2020.0
51,Nam Tabak I,MOA,25.090722,97.713906,Kachin,Myitkyina,Waingmaw,Waingmaw,Ayeyarwady,Namtabak,Namtabak,Namtamhpak,China Guodian/Tun Thwin Mining),PRC/MYA,Foreign JV/BOT,141.0,,,<-PRC?,600.0,2027.0
52,Nam Tu,LocMoU,22.7209429996,97.3193649999,Shan,Kyaukme,Hsipaw,,Ayeyarwady,Myitnge,Upper Myitnge,Myitnge Upper,NCEH,Myanmar,Local BOT,100.0,100.0,0.0,,400.0,2021.0
53,Nancho,Built,19.7412001199999,96.4504829899999,Naypyitaw,Det Khi Na,Pyinmana,,Sittaung,Paung Laung,Paung Laung,Sin The Chaung,MoEE,Myanmar,Sole Investment ,40.0,40.0,0.0,,,2013.0
54,Naopha,MOA,22.9874639999999,98.4991509999999,Shan,Lashio,Tangyan,,Thanlwin,Thanlwin Mainstem,Upper Thanlwin,Thanlwin Mainstem,HydroChina/IGOEC,PRC/MYA,Foreign JV/BOT,1200.0,600.0,600.0,PRC,4600.0,2026.0
55,Paung Laung (lower),Built,19.785,96.3349999999999,Naypyitaw,Det Khi Na,Pyinmana,Zayyarthiri,Sittaung,Paung Laung,Paung Laung,Paung Laung Chaung,MoEE/MOALI,Myanmar,Sole Investment ,280.0,280.0,0.0,,,2005.0
56,Paung Laung (middle),MOU,19.8599999999999,96.5079999999999,Mandalay,Nay Pyi Taw,Pyinmana,,Sittaung,Paung Laung,Paung Laung,Paung Laung Chaung,Energized Myanmar,SIN,Foreign JV/BOT,100.0,100.0,0.0,,400.0,2021.0
57,Paung Laung (upper),Built,19.756,96.5979999999999,Mandalay,Nay Pyi Taw,Pyinmana,,Sittaung,Paung Laung,Paung Laung,Paung Laung Chaung,MoEE,Myanmar,Sole Investment ,140.0,140.0,0.0,,,2015.0
58,Hpak Nam,MOU,20.209251,97.456152,Shan,Hpi Hseng,,,Thanlwin,Nam Pawn,Nam Pawn,Nam Pawn,TEI/HCTC,SIN/MYA,Foreign JV/BOT,105.0,105.0,0.0,,400.0,2020.0
59,Hpi Hseng,MOU,20.118443,97.43497,Shan,Hpi Hseng,,,Thanlwin,Nam Pawn,Nam Pawn,Nam Pawn,TEI/HCTC,SIN/MYA,Foreign JV/BOT,45.0,45.0,0.0,,200.0,2020.0
60,Phyu Chaung,Built,18.506214,96.3510279999999,Bago,Taungoo,Phyu,,Sittaung,Other Sittaung,Other Sittaung,Pyu Chaung,MoEE/MOALI,Myanmar,Sole Investment ,40.0,40.0,0.0,,,2015.0
61,Renan,MOA,27.525941,98.090192,Kachin,Puta-O,Khawbude,,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,N'Mai  Hka,CPI,PRC,Foreign JV/BOT,1200.0,,,PRC,4600.0,2030.0
62,Sedawgyi,Built,22.3486459999999,96.326937,Mandalay,Pyinoolwin,Mandalay,,Ayeyarwady,Ma Gyi Chaung ,Ma Gyi Chaung ,Ma Gyi Chaung ,MoEE,Myanmar,Sole Investment,25.0,25.0,0.0,,,1989.0
63,Sedawgyi (upper),GOM Plan,22.74764,96.20626,Shan,Kyaukme,Mandalay,,Ayeyarwady,Ma Gyi Chaung ,Ma Gyi Chaung ,Ma Gyi Chaung ,MOALI,Myanmar,Sole Investment,64.0,64.0,0.0,,300.0,
64,Shwegyin,Built,17.970227,96.935001,Bago,Bago,Shwegyin,,Sittaung,Other Sittaung,Other Sittaung,Shwegyin River,MoEE,Myanmar,Sole Investment ,75.0,75.0,0.0,,,2011.0
65,Shweli 1,Built,23.698,97.506,Shan,Muse,Manthet Village,Nam Hkan,Ayeyarwady,Shweli,Shweli,Shweli,YUPD,PRC,Foreign JV/BOT,600.0,400.0,200.00000000000003,PRC,,2009.0
66,Shweli 2,MOA,23.6531,97.31235,Shan,Muse,Namkham,,Ayeyarwady,Shweli,Shweli,Shweli,HIE/AWC,PRC/MYA,Foreign JV/BOT,520.0,260.0,260.0,PRC,2100.0,2021.0
67,Shweli 3,Construction,23.315,96.769,Shan,Kyaukme,Namkham,,Ayeyarwady,Shweli,Shweli,Shweli,EDF SA,France,Foreign JV/BOT,1050.0,1050.0,0.0,,,2020.0
68,Suo Lwe,MOU,21.359543,100.176054,Shan,Monghpyak,Moemeik,,Mekong,Nam Lwe,Nam Lwe,Nam Lwe,YNIC,PRC,Foreign JV/BOT,240.0,120.0,120.0,?,1000.0,2025.0
69,Taninthayi,Suspended,12.7769999999999,98.9399999999999,Tanintharyi,Tenasserim,Tanintharyi,,Tanintharyi,Tanintharyi,Tanintharyi,Taninthayi,Italian-Thai,Thailand,Foreign JV/BOT,600.0,,,,2400.0,
70,Thahtay,Construction,18.64,94.381,Rakhine,Thandwe,Thandwe,,Rakhine,Thahtay,Thahtay,Thahtay,MoEE,Myanmar,Sole Investment ,111.0,111.0,0.0,,,2020.0
71,Thapanzeik,Built,23.3059179999999,95.3583299999999,Sagaing,Shwebo,Kyun Hla,Ngapyawtine,Ayeyarwady,Mu,Mu,Mu River,MoEE/MOALI,Myanmar,Sole Investment ,30.0,30.0,0.0,,,2002.0
72,Thauk Ye Khat 2,Built,18.914102,96.619907,Kayin,Hpa-An,Tangoo,,Sittaung,Other Sittaung,Other Sittaung,Thauk Ye Khat,Gold Energy,Myanmar,Local BOT,120.0,120.0,0.0,,,2014.0
73,Tongxinqiao,JVA,25.963646,98.360249,Kachin,Myitkyina,Myitkyina,Tsawlaw,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,Naw Chang  Hka,YEIG/IGOEC,PRC/MYA,Foreign JV/BOT,340.0,170.0,170.0,<-PRC?,1400.0,2026.0
74,Wutsok,MOA,26.403585,98.292511,Kachin,Myitkyina,Myitkyina,Na Zun Baw,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,N'Mai  Hka,CPI,PRC,Foreign JV/BOT,1800.0,,,PRC,6500.0,2030.0
75,Yenwe,Built,18.085211,96.4461519999999,Bago,Bago,Kyauktaga,Myoechaung,Sittaung,Other Sittaung,Other Sittaung,Ye Nwe Chaung,MoEE/MOALI,Myanmar,Sole Investment ,25.0,25.0,0.0,,,2007.0
76,Yeywa,Built,21.675196,96.4740769999999,Mandalay,Pyinoolwin,Kyaukse,Ye Yaman,Ayeyarwady,Myitnge,Lower Myitnge,Lower Myitnge,MoEE,Myanmar,Sole Investment ,790.0,790.0,0.0,,,2010.0
