"By Classification(1)","By Classification(2)","1985","1990","1995","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017 (p)"
"MIDDLE EAST","Iran","-","0.13","0.75","0.06","0.32","15.74","14.96","19","0.65","3.14","0.24","0.44","0.59","2.35","0.36","0.33","0.08","0.1","2.08","1.31","1.67","0.69"
"MIDDLE EAST","Israel","0.32","0.04","0.18","-","-","-","#","-","-","0.06","0.02","0.3","0.8","0.09","#","0.19","0.29","0.68","2.46","4.4","5.81","4.67"
"MIDDLE EAST","Bahrain","-","-","-","-","-","-","-","-","-","0.09","0.08","0.38","-","0.02","0.18","-","1.3","0.61","0.8","1.31","1.02","3.1"
"MIDDLE EAST","Others","104.05","1.63","0.69","23.87","2.25","2.19","13.53","0.57","0.12","17.25","6.74","1.33","2.49","1.55","2.4","2","2.49","3.82","5.79","6.46","11.42","18.1"
"AMERICA","","50.51","3.1","46.33","625.83","261.58","1970.24","2202.57","659.9","13.91","35.59","23.42","19.6","16.9","11.52","16.22","51.43","47.01","51.84","82.63","135.6","289.61","389.94"
"AMERICA","United States","20.77","0.68","38.45","563.01","245.4","1865.22","2082.05","582.72","0.27","0.14","3.46","2.24","0.82","2.56","2.21","29.45","2.81","24.78","50.88","69.22","192.05","286.71"
"AMERICA","Canada","1.96","0.07","1.65","45.67","13.89","92.71","102.01","57.36","8.27","4.11","3.4","3.1","0.45","0.08","0.01","0.04","2.55","3.31","4.12","11.07","40.32","65.32"
"AMERICA","Brazil","27.78","-","0.01","-","-","-","-","-","-","1.13","0.77","0.88","1.05","1.47","3.28","-","0.84","0.77","4.31","2.11","9.37","0.04"
"AMERICA","Others","-","2.35","6.22","17.15","2.29","12.31","18.51","19.82","5.37","30.21","15.79","13.38","14.58","7.41","10.72","21.94","40.81","22.98","23.32","53.2","47.87","37.87"
"NORTH WEST EUROPE","","301.46","14.74","24.75","401.66","98.5","919.75","858.76","831.52","107.01","166.96","160.96","156.26","128.51","102.6","92.47","104.1","94.4","124.96","225.24","242.89","630.28","1247.24"
"NORTH WEST EUROPE","Belgium","43.59","2.64","1.17","22","2.8","22.49","39.98","45.06","5.64","6.25","5.23","3.85","1.51","2.06","1.5","6.74","1.49","7.03","17.71","24.25","77.57","151.17"
"NORTH WEST EUROPE","Denmark","0.81","1.25","1.19","12.65","3.08","61.55","47.55","26.36","4.47","4.2","2.6","2.21","0.87","5.39","0.69","1.74","1.6","2.01","6.12","3.97","23.28","95.07"
"NORTH WEST EUROPE","France","2.31","0.02","5.75","139.57","25.55","240.17","171.96","174.88","16.6","19.04","13.29","8.61","4.77","4.44","1.42","15.75","4.11","5","9.68","19.19","41.63","75.21"
"NORTH WEST EUROPE","Germany, Federal Rep.of","141.65","3.71","6.55","17.76","0.99","5.51","3.88","6.03","0.61","62.14","74.95","66.55","53.71","40.89","38.34","42.33","42.98","40.36","68.19","85.04","219.74","380.06"
"NORTH WEST EUROPE","United Kingdom","45.03","0.72","6.85","89.94","34.09","347.49","393.84","388.15","55.28","60.95","50.54","57.58","52.17","37.06","34.8","16.58","26.94","48.58","53.58","35.24","134.08","311.27"
"NORTH WEST EUROPE","Netherlands","65.35","6.39","2.94","55.65","11.7","80.04","68.89","40.28","6.11","7.97","10.41","7.91","6.58","5.39","5.91","5.65","5.25","10.75","28.2","49.23","91.76","175.8"
"NORTH WEST EUROPE","Norway","-","0.01","0.19","0.5","0.07","1.73","1.87","1.01","0.09","0.44","0.05","0.06","0.11","#","0.01","#","0.33","1.23","3.44","1.49","5.17","7.83"
"NORTH WEST EUROPE","Sweden","0.34","-","0.03","32.72","10.65","95.63","96.17","102.01","11.11","2.07","1.7","1.69","0.81","0.73","0.69","2.57","1.99","4.32","28.16","7.98","18.27","31.93"
"NORTH WEST EUROPE","Switzerland","2.33","-","0.08","28.98","8.61","36.76","30.94","42","4.41","1.3","0.59","0.23","0.2","0.85","1.47","5.48","3.65","2.65","1.7","10.32","8.33","5.66"
